id|game|chapter|speaker|text|tag
1|FE11|16-TheBattleForAltea|Nyna|You've done it, Marth. We're here. That's Altea beneath our feet- your home.|
2|FE11|16-TheBattleForAltea|Marth|Countless days have passed since Dolhr took my kingdom from me- days I would never have lived had it not been for my sister Elice's sacrifice, and the sacrifices of so many others...|
3|FE11|16-TheBattleForAltea|Nyna|What became of your sister? And the rest of your family, what of them as well?|
4|FE11|16-TheBattleForAltea|Marth|My father, as you know, died in Gra. I last saw my mother and sister the day the castle fell. I do not know if they still live...but I hope that they do. And if the enemy has them, I will rescue them. You can be sure of that.|
5|FE11|16-TheBattleForAltea|Malledus|Sire, our preparations are complete. We are ready to march.|
6|FE11|16-TheBattleForAltea|Marth|Thank you.|
7|FE11|16-TheBattleForAltea|Marth|Alteans and friends of the League! Join me now! Help me set Altea free, and ensure today is the last battle my people must endure!|
8|FE11|16-TheBattleForAltea|Old Man|Listen well, because this is very important. There are two villages in the northwest of Altea. The easterly village is home to a paladin named Arran while the westerly village is home to a hero named Samson. They're both fine men and warriors, but their villages have been feudin' for years. You should probably resign yourself to the fact that you'll only get one of them to join your ranks. Give it some thought: the hero to the west, or the paladin to the east?|
9|FE11|16-TheBattleForAltea|Young Girl|A VIP card will gain you entrance to secret shops. Where are the shops? Well, that’s the secret!|
10|FE11|16-TheBattleForAltea|Young Man|A lad named Xane has been locked up in the eastern jail. They say he’s got some sort of amazing power. Wonder what it is.|
11|FE11|16-TheBattleForAltea|Middle-Aged Man|Three orbs are enshrined at the Fane of Raman, each brimming with power. What sort of power, none can say. Well, except those who have wielded it, right?|
12|FE11|16-TheBattleForAltea|Old Woman|The Altean army! Welcome home. It’s good to see you. These years been nowt but dark days; it’s about time we had something bright to look forward to.|
13|FE11|16-TheBattleForAltea|Middle-Aged Man|Take care when usin' a devil sword. It’s a powerful blade, to be sure- but it might just claim your life instead of your foe’s.|
14|FE11|16-TheBattleForAltea|Young Man|Princess Elice was prepared to die that day the castle fell. But she didn't, they say. Instead of killin' her, the Dark Pontifex Gharnef spirited her off somewhere! Oh, our poor princess... I hope she's safe.|
15|FE11|16-TheBattleForAltea|Samson|My name is Samson. Once, I was a swordfighter of some renown...but that was then, and this is now. I'm happy enough with my life here in the village, but if you need another man, I will fight. Unfortunately, there has always been bad blood between our village and the next one over. They'll have closed the gates to you the moment they saw you come here. Guess that means the paladin Arran won't be fightin' with you. Them's the breaks.|
16|FE11|16-TheBattleForAltea|Arran|Sire, my name is Arran. Once I was a captain to many knights... but, things change, and I came to live here in this village. If you need warriors for the coming struggle, I would be honored to fight. Unfortunately, there has always been bad blood between this village and our neighbors. No doubt they closed their gates to you as soon as they saw you come here. You won't be able to recruit the hero Samson now, I'm afraid.|
17|FE11|16-TheBattleForAltea|Xane|Hey there, princey. Thanks for settin' me free! The name's Xane. I hail from a land few have heard of an even fewer have seen. I won't trouble you with the details. Me and my folk have the power to transform into other people. We can shape-shift, you see. When Doluna caught on, they started threatenin' me. Told me to join their army or "face my doom." Hah! Well, I wasn't about to waste my considerable talent on those evil coots! You, on the other hand...You've got character. Say, why don't we team up? I do owe you for savin' my hide. And I think you'll find my talents are...quite considerable.|
18|FE11|16-TheBattleForAltea|Hollstadt|Well done, rabble. Anyone else would be dead by now. A shame you must end your campaign right here, before your own gates!|
19|FE11|16-TheBattleForAltea|Hollstadt|Rrgh! General Camus... The rest... is in your... hands...|
